"","ID","Sample_Environment","Gender","Age","RT_Mirror_0","RT_Mirror_60","RT_Mirror_120","RT_Mirror_180","RT_Mirror_240","RT_Mirror_300","RT_Normal_0","RT_Normal_60","RT_Normal_120","RT_Normal_180","RT_Normal_240","RT_Normal_300","Error_rates_Mirror_0","Error_rates_Mirror_60","Error_rates_Mirror_120","Error_rates_Mirror_180","Error_rates_Mirror_240","Error_rates_Mirror_300","Error_rates_Normal_0","Error_rates_Normal_60","Error_rates_Normal_120","Error_rates_Normal_180","Error_rates_Normal_240","Error_rates_Normal_300"
"62","S12","STU","F",21,496.5,710.24,726.44,852.76,746.69,817.32,532.88,488.93,591.01,815.18,816.39,395.59,0,0,0,0.33,0,0.17,0,0,0,0,0.33,0
"63","S13","STU","F",20,591.45,777.82,934.57,588.86,834.37,899.03,758.06,789.37,1266.01,NA,814.56,524.17,0.17,0,0,0,0.17,0.17,0,0.17,0,1,0,0
"64","S14","STU","F",19,629.78,605.31,578.41,1148.65,562.8,667.55,482.21,570.44,762.55,723.38,703.76,678.81,0,0,0,0,0,0,0,0,0,0,0,0
"65","S15","STU","M",22,539.59,473.77,410.86,417.7,395.21,458.37,290.69,299.72,350.84,586.86,350.39,330.13,0.17,0,0,0,0,0,0,0,0.17,0.33,0,0
"66","S16","STU","M",22,619.8,518.17,862.32,1005.73,705.86,665.44,455.57,490.25,577.28,728.24,727.51,602.29,0,0,0,0,0,0,0,0,0,0.17,0,0
"67","S17","STU","M",22,445,513.79,713.67,818.69,848.25,460.04,251.75,301.35,418.66,840.54,432.69,336.79,0,0,0,0,0,0,0,0,0,0.17,0.17,0.17
"68","S18","STU","M",22,535.96,474.16,467.6,462.03,356.86,358.6,300.88,322.22,402.54,521.67,325.18,252.31,0,0,0,0,0,0,0,0,0.17,0,0,0
"69","S19","STU","F",20,360.74,428.66,1039.97,1278.61,645.87,366.16,313.61,372.13,583.45,660.3,476.87,331.33,0.17,0,0.17,0,0,0,0,0,0,0.17,0,0.17
"70","S20","STU","F",20,503.23,583.46,937.68,1338.51,628.35,504.89,424.14,338.26,638.14,1304.49,765.82,368.53,0.17,0,0,0,0,0,0,0,0,0,0,0
"71","S21","STU","F",19,550.58,369.98,559.01,448.82,389.37,470.37,394.5,532.09,776.73,686,1060.62,519.22,0.17,0,0,0,0,0,0,0.33,0.5,0.83,0.67,0
"72","S22","STU","M",20,884.48,658.54,1393.63,1957.06,1086.56,885.37,537.33,740.16,1273.69,862.85,568.96,693.25,0,0,0.67,0.5,0.17,0,0,0,0.17,0,0.17,0
